state,solar_electricity,annual_sunlight_radiation,land_area_sq_km,overall_sunlight_resource,elec_produce_ratio
Alabama,39.0,1667.9671834284302,135767,2264549.005925277,0.017221972188702937
Alaska,1.0,559.1913149999999,1723337,9636750.832181549,0.00010376941537811059
Arizona,5370.0,2058.9834874584662,295234,6078819.309363128,0.883395232973722
Arkansas,33.0,1619.4291246788105,137732,2230472.1220026193,0.014795073955181785
California,27037.0,1920.4936283748107,423972,8142355.246093252,3.3205379994900746
Colorado,999.0,1766.223340235516,269601,4761755.787508354,0.20979656340644443
Connecticut,344.0,1415.7032996254436,14357,203252.52272722495,1.6924759180562063
Delaware,119.0,1511.9445152438939,6446,97459.9434526214,1.221014457676655
District of Columbia,32.0,1515.7698750000104,177,2682.912678750018,11.927335635429236
Florida,429.0,1796.6834193480431,170312,3059967.4651600393,0.14019756905407585
Georgia,1076.0,1692.4427586262038,153910,2604838.6498015905,0.41307740887596184
Hawaii,848.0,1903.4834215076287,28313,538933.261131455,1.5734786868037793
Idaho,40.0,1558.4947621137019,216443,3373252.8179617594,0.011857990538690022
Illinois,86.0,1482.2284028029783,149995,2223268.4927843274,0.03868178777287364
Indiana,243.0,1460.6962064979584,94326,1377816.3037412644,0.17636603612554738
Iowa,60.0,1453.4757004859018,145746,2118382.6944301827,0.02832349421931962
Kansas,11.0,1685.1326284002864,213100,3591017.63112101,0.0030631985498122223
Kentucky,32.0,1511.804255756804,104656,1582193.8619048407,0.02022508162272507
Louisiana,191.0,1698.9452796044363,135659,2304772.176858582,0.08287153147619741
Maine,29.0,1313.5939532390482,91633,1203685.547171537,0.024092671103466537
Maryland,728.0,1504.7769509441725,32131,483499.88210787205,1.5056880610315813
Massachusetts,1863.0,1392.1045174603337,27336,380545.6908929568,4.895601355065772
Michigan,64.0,1359.372168905218,250487,3405050.564725613,0.018795609281989405
Minnesota,47.0,1354.7480210481142,225163,3050391.2866325653,0.015407859380520642
Mississippi,6.0,1669.6319087147474,125438,2094352.8736536049,0.0028648467388081465
Missouri,200.0,1552.989920928513,180540,2803768.0032443376,0.07133257807656448
Montana,11.0,1437.0572345279195,380831,5472759.436825021,0.0020099549645802746
Nebraska,7.0,1339.480395833239,200330,2683381.0769727277,0.0026086492373632937
Nevada,3496.0,1884.941203963639,286380,5398094.61991107,0.6476359245547264
New Hampshire,52.0,1342.3841409043212,24214,325044.8958785723,0.15997790046648125
New Jersey,2220.0,1464.6026959119522,22591,330868.39503346913,6.709616371111647
New Mexico,909.0,2008.6255274370953,314917,6325503.252239077,0.14370398113039237
New York,1013.0,1354.8441148677216,141297,1914354.0889846447,0.5291602038666137
North Carolina,3589.0,1615.579577850108,139391,2251972.529361044,1.593713934431657
North Dakota,0.29,1382.96434805445,183108,2532318.3584355423,0.00011451956624409619
Ohio,173.0,1422.5669934192767,116098,1651571.828019912,0.10474869882432643
Oklahoma,9.0,1719.617621495324,181037,3113144.15342649,0.002890967959223516
Oregon,192.0,1561.732997814389,254799,3979280.061101085,0.048249933920678285
Pennsylvania,361.0,1391.0927879929777,119280,1659295.477518024,0.21756221534454143
Rhode Island,44.0,1418.8818267974407,4001,56769.4618901656,0.7750645952066404
South Carolina,41.0,1680.7193747132976,82933,1393870.999030979,0.02941448672689457
South Dakota,1.0,1503.004879513887,199729,3001936.6158042913,0.0003331182926166067
Tennessee,164.0,1565.4040103825123,109153,1708685.4394528237,0.09598021743107854
Texas,1122.0,1839.860314737681,695662,12799209.062710445,0.08766166678758804
Utah,1203.0,1822.0112250104442,219882,4006274.7217774647,0.3002789582703067
Vermont,135.0,1315.314897205584,24906,327592.32829802274,0.4120975625448272
Virginia,62.0,1544.949032478981,110787,1711602.6846124888,0.036223359870481246
Washington,90.0,1367.2711696548654,184661,2524816.614596371,0.035646153261070734
West Virginia,6.0,1441.932210422162,62756,904898.9779725319,0.006630574402286626
Wisconsin,37.0,1369.0569972051435,169635,2322399.8372089453,0.01593179581189883
Wyoming,3.0,1600.015769992018,253335,4053399.950909279,0.0007401194148944086
